intitule_prod;prix_ht;prix_ttc;description_prod;lien_image_prod;publication_prod;stock_prod;moyenne_note_prod;seuil_alerte_prod;alerte_prod;code_sous_cat
PC gamer;1000.00;1200.00;PC gamer;PC.jpg;True;20;4.5;3;False;137
Somier;150.00;180.00;Somier;Somier.jpg;True;15;5;2;False;137
Matelas;300.00;360.00;Matelas;Matelas.jpg;True;10;4;4;False;137
Table;200.00;240.00;Table;Table.jpg;True;5;3.5;7;False;137
Chaise;100.00;120.00;Chaise;Chaise.jpg;True;8;4.5;8;False;137
Canapé;750.00;900.00;Canapé;Canapé.jpg;True;2;3;9;False;137
Fauteuil;500.00;600.00;Fauteuil;Fauteuil.jpg;True;3;4.5;1;False;137
Armoire;800.00;960.00;Armoire;Armoire.jpg;True;4;5;4;False;137
Commode;250.00;300.00;Commode;Commode.jpg;True;6;4.5;5;False;137
Lit;450.00;540.00;Lit;Lit.jpg;True;1;5;9;False;137
Chevet;350.00;420.00;Chevet;Chevet.jpg;True;2;4;2;False;137
Téléviseur;700.00;840.00;Téléviseur;Téléviseur.jpg;True;3;3;3;False;137
Home cinéma;950.00;1140.00;Home cinéma;Home-cinéma.jpg;True;1;5;8;False;137
Chaine hifi;450.00;540.00;Chaine hifi;Chaine_hifi.jpg;True;2;4;3;False;137
